appid,review_score,review_score_desc,total_reviews
812140,8,Very Positive,56066
2186680,8,Very Positive,15261
3199170,0,No user reviews,0
1366540,9,Overwhelmingly Positive,23542
1172710,6,Mostly Positive,41459
374320,8,Very Positive,103170
1447430,0,No user reviews,0
400750,8,Very Positive,10674
1009850,8,Very Positive,206
1966720,9,Overwhelmingly Positive,269875
2622000,0,No user reviews,0
1144200,6,Mostly Positive,135581
48700,9,Overwhelmingly Positive,54213
835570,6,Mostly Positive,280
262060,8,Very Positive,54608
933110,8,Very Positive,13117
1891700,0,No user reviews,0
1066780,8,Very Positive,9781
214950,8,Very Positive,30738
1783560,8,Very Positive,1644
2827200,6,Mostly Positive,406
1868140,9,Overwhelmingly Positive,45297
1169040,8,Very Positive,9922
2215430,8,Very Positive,31991
1044720,8,Very Positive,9335
1258080,0,No user reviews,0
286160,9,Overwhelmingly Positive,29768
1465360,8,Very Positive,16139
3008130,8,Very Positive,19642
2250040,0,No user reviews,0
1546320,0,5 user reviews,5
1250410,6,Mostly Positive,42105
1267910,8,Very Positive,8201
359320,6,Mostly Positive,51143
1621690,8,Very Positive,21119
3301060,8,Very Positive,71
2452280,0,No user reviews,0
2051620,5,Mixed,153
2670630,8,Very Positive,30261
945360,8,Very Positive,364828
877280,8,Very Positive,59
552500,8,Very Positive,42253
1118200,9,Overwhelmingly Positive,165277
435150,9,Overwhelmingly Positive,79475
1147690,0,No user reviews,0
2384580,8,Very Positive,3693
232090,8,Very Positive,41541
703080,8,Very Positive,40021
2336220,8,Very Positive,197
400040,7,Positive,10
1527950,8,Very Positive,12363
1062090,9,Overwhelmingly Positive,19758
2277560,6,Mostly Positive,4636
2221490,6,Mostly Positive,12461
477160,9,Overwhelmingly Positive,29832
3159330,6,Mostly Positive,12253
644930,8,Very Positive,18449
582160,8,Very Positive,34512
391220,8,Very Positive,29083
1062520,8,Very Positive,14685
3314790,8,Very Positive,7096
2904000,8,Very Positive,3419
268500,8,Very Positive,43138
602960,9,Overwhelmingly Positive,26166
22380,9,Overwhelmingly Positive,151824
3427660,0,No user reviews,0
244850,8,Very Positive,66300
4149830,0,No user reviews,0
2444750,8,Very Positive,3239
1659040,8,Very Positive,24190
2195250,5,Mixed,31990
231430,8,Very Positive,27875
1677280,5,Mixed,11888
2948190,0,No user reviews,0
1189490,8,Very Positive,367
4700,9,Overwhelmingly Positive,16087
1601580,6,Mostly Positive,8439
2017220,4,Mostly Negative,163
2537590,5,Mixed,9709
1787090,8,Very Positive,655
1604270,5,Mixed,7887
219990,9,Overwhelmingly Positive,37777
4129880,0,No user reviews,0
1149460,6,Mostly Positive,24173
3606890,0,3 user reviews,3
3591550,8,Very Positive,190
427410,9,Overwhelmingly Positive,21865
1401590,8,Very Positive,14185
1282270,0,No user reviews,0
305620,8,Very Positive,37953
3241970,0,No user reviews,0
380600,5,Mixed,230
1172620,8,Very Positive,141569
3659410,7,Positive,37
1995520,5,Mixed,3608
985810,0,No user reviews,0
2321470,8,Very Positive,20985
12210,8,Very Positive,65082
1898300,6,Mostly Positive,4337
815370,8,Very Positive,23065
872410,5,Mixed,650
1222140,8,Very Positive,41500
239550,6,Mostly Positive,470
3101040,8,Very Positive,162
1857950,8,Very Positive,3027
2808930,0,2 user reviews,2
2427700,8,Very Positive,4820
1962700,0,No user reviews,0
588650,9,Overwhelmingly Positive,42450
322330,9,Overwhelmingly Positive,79122
1173510,8,Very Positive,1093
2113850,9,Overwhelmingly Positive,7616
412220,0,No user reviews,0
1217060,9,Overwhelmingly Positive,35645
805550,8,Very Positive,12863
3917090,8,Very Positive,1616
2958130,8,Very Positive,2873
2072560,0,No user reviews,0
1517290,5,Mixed,105913
632810,0,No user reviews,0
627690,7,Positive,24
2878420,8,Very Positive,633
1325200,8,Very Positive,9940
392160,6,Mostly Positive,11851
824270,8,Very Positive,20999
1286830,8,Very Positive,354
1449690,9,Overwhelmingly Positive,10439
1328670,8,Very Positive,37672
2508780,9,Overwhelmingly Positive,767
880940,8,Very Positive,13915
3167550,8,Very Positive,896
881100,9,Overwhelmingly Positive,44759
1934680,8,Very Positive,8846
3164330,0,No user reviews,0
1184370,8,Very Positive,17187
2135150,9,Overwhelmingly Positive,3002
3413340,0,No user reviews,0
1449110,6,Mostly Positive,3343
1363080,8,Very Positive,34843
568220,8,Very Positive,11555
2661300,8,Very Positive,8411
220,9,Overwhelmingly Positive,84092
673750,8,Very Positive,1265
1190970,8,Very Positive,7750
2208920,5,Mixed,11964
1617400,8,Very Positive,3343
3052450,0,No user reviews,0
397540,8,Very Positive,58735
10180,8,Very Positive,16197
201270,8,Very Positive,20754
976730,8,Very Positive,155940
356190,8,Very Positive,34360
1256670,9,Overwhelmingly Positive,11666
10500,8,Very Positive,11819
1677740,8,Very Positive,306
2349820,0,No user reviews,0
363970,8,Very Positive,302
787480,9,Overwhelmingly Positive,9120
784150,8,Very Positive,7550
2489330,8,Very Positive,461
570940,8,Very Positive,44215
2161700,9,Overwhelmingly Positive,18514
2742830,9,Overwhelmingly Positive,3908
1129580,8,Very Positive,17710
2103140,9,Overwhelmingly Positive,2926
2289750,8,Very Positive,1741
1063730,5,Mixed,145145
1716740,5,Mixed,82533
3024040,8,Very Positive,2541
2399420,6,Mostly Positive,4193
3070070,9,Overwhelmingly Positive,29616
976310,8,Very Positive,24820
4015610,0,No user reviews,0
686810,8,Very Positive,59367
1594320,8,Very Positive,4251
1627720,8,Very Positive,23977
699130,8,Very Positive,6212
220200,9,Overwhelmingly Positive,73467
1649950,9,Overwhelmingly Positive,1831
1013320,0,No user reviews,0
1909950,8,Very Positive,297
2437170,5,Mixed,5368
2254890,8,Very Positive,1680
601510,0,No user reviews,0
1483870,6,Mostly Positive,326
3128600,7,Positive,18
3399960,8,Very Positive,311
1282100,8,Very Positive,25413
1593500,9,Overwhelmingly Positive,55221
2322010,8,Very Positive,12024
505460,8,Very Positive,26260
1167630,9,Overwhelmingly Positive,67914
1158160,8,Very Positive,12422
786520,8,Very Positive,229
1274570,8,Very Positive,20268
1128810,8,Very Positive,109
2379740,0,No user reviews,0
1196590,8,Very Positive,40798
1997040,0,No user reviews,0
1343400,8,Very Positive,73
1462040,8,Very Positive,16629
304390,5,Mixed,53655
1029690,8,Very Positive,9424
1237970,9,Overwhelmingly Positive,89127
3061570,0,No user reviews,0
2909400,8,Very Positive,9348
552520,8,Very Positive,66533
883710,9,Overwhelmingly Positive,47641
2646460,6,Mostly Positive,5503
4056970,0,No user reviews,0
208650,8,Very Positive,46466
977950,9,Overwhelmingly Positive,13752
3625210,7,Positive,26
2879840,8,Very Positive,697
1336980,8,Very Positive,157
1404210,8,Very Positive,29769
311210,8,Very Positive,110961
325610,8,Very Positive,12799
516750,8,Very Positive,32753
899770,8,Very Positive,57078
1324780,8,Very Positive,4671
3467710,6,Mostly Positive,211
2138720,6,Mostly Positive,13747
625960,6,Mostly Positive,10490
1535560,0,No user reviews,0
1676840,6,Mostly Positive,4774
1850570,8,Very Positive,16470
663090,5,Mixed,42
767560,0,No user reviews,0
1384160,8,Very Positive,30962
3595270,4,Mostly Negative,7938
3215050,5,Mixed,709
3020510,8,Very Positive,90
601150,9,Overwhelmingly Positive,35964
1180320,0,No user reviews,0
1180380,0,No user reviews,0
1973710,0,No user reviews,0
386180,5,Mixed,548
2897580,0,No user reviews,0
49520,8,Very Positive,121215
389430,4,Mostly Negative,24
2712380,8,Very Positive,293
3511030,8,Very Positive,231
1190970,8,Very Positive,7750
655500,8,Very Positive,21535
924970,6,Mostly Positive,24678
203160,8,Very Positive,48778
594570,8,Very Positive,50521
1222680,8,Very Positive,47207
1635960,4,Mostly Negative,117
2531310,8,Very Positive,10018
2698940,6,Mostly Positive,5144
3180150,8,Very Positive,304
2918150,0,No user reviews,0
588430,0,No user reviews,0
701160,8,Very Positive,9229
1974050,0,No user reviews,0
297000,6,Mostly Positive,6460
495420,8,Very Positive,20371
787860,8,Very Positive,23825
632470,8,Very Positive,52882
3142050,0,No user reviews,0
268910,9,Overwhelmingly Positive,60242
361420,8,Very Positive,51478
2231380,6,Mostly Positive,16142
2420110,8,Very Positive,9508
466560,8,Very Positive,22571
504230,9,Overwhelmingly Positive,55077
1313140,9,Overwhelmingly Positive,52933
335300,8,Very Positive,32224
2962810,0,No user reviews,0
2229850,9,Overwhelmingly Positive,3532
3363270,8,Very Positive,85
2072450,8,Very Positive,6782
2933130,8,Very Positive,5502
1371580,6,Mostly Positive,3152
3731020,7,Positive,25
3416070,9,Overwhelmingly Positive,1726
620,9,Overwhelmingly Positive,164054
461040,7,Positive,19
2408820,8,Very Positive,3235
404790,0,9 user reviews,9
1084600,8,Very Positive,8762
287700,8,Very Positive,40600
2488620,6,Mostly Positive,6106
1068820,8,Very Positive,2490
2943650,8,Very Positive,975
1815780,0,No user reviews,0
1343370,5,Mixed,39
1817070,9,Overwhelmingly Positive,48675
365360,8,Very Positive,13674
581320,8,Very Positive,58203
489830,8,Very Positive,120068
1190000,9,Overwhelmingly Positive,14942
1229490,9,Overwhelmingly Positive,122711
1657630,8,Very Positive,19696
1645820,8,Very Positive,10954
1904480,8,Very Positive,2097
2679460,8,Very Positive,12127
2651280,6,Mostly Positive,11116
3628960,0,No user reviews,0
466170,5,Mixed,11
669330,8,Very Positive,8916
701470,8,Very Positive,221
1071870,8,Very Positive,1559
460930,8,Very Positive,35594
2119830,8,Very Positive,3177
3910,8,Very Positive,3870
1336490,9,Overwhelmingly Positive,17147
960170,8,Very Positive,3981
2456740,6,Mostly Positive,11134
4054170,0,No user reviews,0
203770,8,Very Positive,22374
438040,5,Mixed,47
2054970,5,Mixed,42305
780310,8,Very Positive,8027
1259420,8,Very Positive,34223
1761070,0,No user reviews,0
2079120,0,No user reviews,0
1335200,0,No user reviews,0
838350,6,Mostly Positive,698
2281730,0,No user reviews,0
3651310,7,Positive,28
1888930,8,Very Positive,25035
1367080,4,Mostly Negative,13
1004640,8,Very Positive,2739
1782210,0,No user reviews,0
628070,8,Very Positive,255
1611600,8,Very Positive,7554
3035570,6,Mostly Positive,3888
3447040,7,Positive,42
632300,8,Very Positive,2232
1657630,8,Very Positive,19696
573090,8,Very Positive,38150
3772810,9,Overwhelmingly Positive,757
2418520,8,Very Positive,1607
3218710,0,No user reviews,0
2623190,6,Mostly Positive,42691
1677280,5,Mixed,11888
1898830,6,Mostly Positive,88
1147560,8,Very Positive,9392
508440,9,Overwhelmingly Positive,78484
1159690,6,Mostly Positive,3358
1046930,0,No user reviews,0
1525700,8,Very Positive,4692
2225070,0,No user reviews,0
750920,8,Very Positive,21934
1092790,9,Overwhelmingly Positive,72603
3217240,0,No user reviews,0
3114410,0,No user reviews,0
3480990,8,Very Positive,129
3556750,8,Very Positive,4464
646910,6,Mostly Positive,26219
2009120,7,Positive,43
3092660,0,No user reviews,0
1040200,9,Overwhelmingly Positive,11904
1827180,0,No user reviews,0
2436940,8,Very Positive,481
418370,8,Very Positive,27278
1824220,8,Very Positive,20343
34030,8,Very Positive,9773
1399720,0,No user reviews,0
2289450,7,Positive,39
2627260,8,Very Positive,1536
3097560,8,Very Positive,13955
975370,9,Overwhelmingly Positive,22626
1353300,6,Mostly Positive,323
2185060,9,Overwhelmingly Positive,3411
282070,8,Very Positive,22537
3116890,8,Very Positive,444
3224420,0,No user reviews,0
1888160,8,Very Positive,38422
3862670,8,Very Positive,322
1811260,5,Mixed,35651
2104890,6,Mostly Positive,5495
744900,0,No user reviews,0
3174070,0,No user reviews,0
1275920,5,Mixed,86
329110,7,Positive,42
2333480,0,No user reviews,0
670290,0,No user reviews,0
774171,8,Very Positive,28686
2524890,7,Positive,11
2719740,8,Very Positive,128
756800,9,Overwhelmingly Positive,9500
286690,8,Very Positive,25627
2661300,8,Very Positive,8411
412020,8,Very Positive,32611
1940340,6,Mostly Positive,10775
4136700,0,No user reviews,0
304050,6,Mostly Positive,419
391540,9,Overwhelmingly Positive,152547
433850,5,Mixed,37594
200210,6,Mostly Positive,119
1100750,5,Mixed,145
1240440,5,Mixed,27673
1468260,7,Positive,19
2239710,8,Very Positive,1994
719890,5,Mixed,4778
3587140,0,No user reviews,0
4120670,0,No user reviews,0
1584090,9,Overwhelmingly Positive,3245
1971650,8,Very Positive,4230
2878960,5,Mixed,2022
312660,8,Very Positive,15160
881020,8,Very Positive,10740
1669980,9,Overwhelmingly Positive,2665
3230400,5,Mixed,1885
1812450,8,Very Positive,6463
1096900,8,Very Positive,938
3098140,8,Very Positive,221
252530,8,Very Positive,2278
552100,8,Very Positive,25746
2369390,5,Mixed,11317
1296830,8,Very Positive,1267
2732960,8,Very Positive,2899
2903690,0,No user reviews,0
2479810,6,Mostly Positive,39500
3861280,0,8 user reviews,8
1244460,8,Very Positive,19172
223470,9,Overwhelmingly Positive,40376
2835570,9,Overwhelmingly Positive,30616
546560,9,Overwhelmingly Positive,59039
2527500,9,Overwhelmingly Positive,23070
2947440,8,Very Positive,5740
1057090,9,Overwhelmingly Positive,29808
1928420,0,No user reviews,0
2680010,8,Very Positive,7991
387990,8,Very Positive,45220
223750,8,Very Positive,374
2291060,6,Mostly Positive,3790
360430,5,Mixed,15396
637090,8,Very Positive,17643
2515020,8,Very Positive,10218
1506830,8,Very Positive,33429
2688950,6,Mostly Positive,6727
2203070,0,No user reviews,0
702320,0,No user reviews,0
1243830,6,Mostly Positive,1356
2081880,0,No user reviews,0
475150,8,Very Positive,7788
705210,0,1 user reviews,1
32470,9,Overwhelmingly Positive,25255
244450,8,Very Positive,16216
782330,8,Very Positive,118045
1466060,8,Very Positive,12016
842980,0,No user reviews,0
2591280,6,Mostly Positive,1897
47890,8,Very Positive,20021
707010,5,Mixed,673
1056640,5,Mixed,18
3997990,0,No user reviews,0
2538150,0,No user reviews,0
2881650,8,Very Positive,30687
1295510,8,Very Positive,3561
665300,9,Overwhelmingly Positive,1221
2488370,8,Very Positive,2640
885970,6,Mostly Positive,7642
2870920,8,Very Positive,280
1401730,8,Very Positive,546
2526380,0,No user reviews,0
225540,8,Very Positive,43982
436150,6,Mostly Positive,33
1625450,0,No user reviews,0
1840,8,Very Positive,158
362890,8,Very Positive,66399
469600,8,Very Positive,6091
1682970,8,Very Positive,1606
2776450,8,Very Positive,184
459820,8,Very Positive,432
1971870,6,Mostly Positive,14934
1237950,8,Very Positive,46532
1465460,8,Very Positive,5996
599140,8,Very Positive,16345
211820,8,Very Positive,51566
298110,8,Very Positive,22321
383120,6,Mostly Positive,17632
1549250,0,No user reviews,0
447040,8,Very Positive,23362
585420,8,Very Positive,17785
1397920,0,No user reviews,0
454690,0,7 user reviews,7
3879660,0,No user reviews,0
544730,0,No user reviews,0
436780,9,Overwhelmingly Positive,1398
3279780,0,No user reviews,0
2784470,8,Very Positive,6482
242050,8,Very Positive,28925
1235140,8,Very Positive,13827
1909840,6,Mostly Positive,32
1629520,8,Very Positive,8627
2569510,0,No user reviews,0
1029780,8,Very Positive,7759
2437170,5,Mixed,5368
1144400,9,Overwhelmingly Positive,807
1671210,9,Overwhelmingly Positive,52517
280680,9,Overwhelmingly Positive,2706
2864560,8,Very Positive,1071
2014780,8,Very Positive,2431
234140,8,Very Positive,25347
307690,9,Overwhelmingly Positive,27091
2668080,0,No user reviews,0
972660,9,Overwhelmingly Positive,17779
524220,8,Very Positive,47176
3293260,9,Overwhelmingly Positive,4114
1022450,0,No user reviews,0
2060160,9,Overwhelmingly Positive,2337
1585180,8,Very Positive,4365
289650,6,Mostly Positive,23643
1113000,9,Overwhelmingly Positive,44010
9900,6,Mostly Positive,833
1419170,0,5 user reviews,5
2701660,8,Very Positive,1248
363890,8,Very Positive,3564
1569580,8,Very Positive,9342
2832330,0,No user reviews,0
3393070,0,No user reviews,0
2141730,8,Very Positive,9550
1599600,9,Overwhelmingly Positive,11371
24010,6,Mostly Positive,10439
231120,0,2 user reviews,2
335240,8,Very Positive,81
1392860,5,Mixed,3791
2169200,6,Mostly Positive,1802
311690,9,Overwhelmingly Positive,38115
1774580,5,Mixed,44872
603850,8,Very Positive,8964
3865150,0,No user reviews,0
2878450,8,Very Positive,1268
1017900,8,Very Positive,5724
3654560,5,Mixed,1816
1574360,0,No user reviews,0
3454650,6,Mostly Positive,1861
551170,8,Very Positive,167
3330,9,Overwhelmingly Positive,2350
221040,6,Mostly Positive,12502
1548520,0,No user reviews,0
2666510,9,Overwhelmingly Positive,6159
492720,8,Very Positive,9495
1331550,8,Very Positive,4754
1846380,5,Mixed,18695
2737070,8,Very Positive,921
3750430,0,No user reviews,0
392160,6,Mostly Positive,11852
955900,8,Very Positive,1767
1114150,5,Mixed,8022
1284410,0,No user reviews,0
2918500,7,Positive,41
1211020,9,Overwhelmingly Positive,15316
2634950,9,Overwhelmingly Positive,8928
40970,9,Overwhelmingly Positive,6011
764010,5,Mixed,57
3551360,0,No user reviews,0
215080,5,Mixed,53
2772750,8,Very Positive,3280
920490,8,Very Positive,145
212680,9,Overwhelmingly Positive,45479
2962300,0,No user reviews,0
638970,9,Overwhelmingly Positive,36869
2407270,8,Very Positive,2837
1594940,8,Very Positive,3804
690790,8,Very Positive,17722
1210320,8,Very Positive,15277
2071280,8,Very Positive,6850
2495100,8,Very Positive,4400
371660,8,Very Positive,12777
1127500,9,Overwhelmingly Positive,14933
1877960,0,No user reviews,0
2009350,8,Very Positive,1989
1659420,8,Very Positive,8092
2142790,9,Overwhelmingly Positive,17733
233450,8,Very Positive,33476
2484110,0,No user reviews,0
2027330,8,Very Positive,6558
1238860,8,Very Positive,27841
3656800,6,Mostly Positive,212
961200,6,Mostly Positive,6599
333420,6,Mostly Positive,3171
668580,6,Mostly Positive,11900
1976440,0,No user reviews,0
2439510,0,No user reviews,0
2551020,0,No user reviews,0
444090,6,Mostly Positive,3293
388080,8,Very Positive,2944
2103530,0,No user reviews,0
1277530,0,No user reviews,0
1637320,8,Very Positive,9345
454650,8,Very Positive,17962
753640,9,Overwhelmingly Positive,46657
1030840,8,Very Positive,26413
848450,8,Very Positive,51965
312520,9,Overwhelmingly Positive,26035
471710,8,Very Positive,92
493490,6,Mostly Positive,6134
2892880,0,No user reviews,0
493520,8,Very Positive,24694
3183280,5,Mixed,723
4770,6,Mostly Positive,474
1151640,8,Very Positive,51104
535930,8,Very Positive,12338
1324130,8,Very Positive,5213
337410,0,No user reviews,0
363150,5,Mixed,860
220240,8,Very Positive,39796
2404880,8,Very Positive,2433
1213210,8,Very Positive,17190
3673060,8,Very Positive,144
223850,8,Very Positive,7435
266840,8,Very Positive,14019
1547000,6,Mostly Positive,3499
3187030,0,No user reviews,0
1371980,8,Very Positive,17295
2276930,8,Very Positive,4842
1066890,8,Very Positive,4778
2665680,6,Mostly Positive,1030
2819520,0,No user reviews,0
1690710,0,8 user reviews,8
2787320,8,Very Positive,1041
3180070,8,Very Positive,4857
2325920,8,Very Positive,50
2503770,9,Overwhelmingly Positive,640
3373660,9,Overwhelmingly Positive,4880
860510,8,Very Positive,14919
992070,0,No user reviews,0
494840,8,Very Positive,10689
2288150,6,Mostly Positive,318
389730,8,Very Positive,30305
2157560,8,Very Positive,3435
2826180,8,Very Positive,477
1948280,9,Overwhelmingly Positive,11104
269210,5,Mixed,11939
678960,8,Very Positive,18404
637650,8,Very Positive,16944
1954420,0,No user reviews,0
1486350,0,No user reviews,0
2739990,0,No user reviews,0
2592550,0,No user reviews,0
21690,8,Very Positive,14028
1340990,5,Mixed,1888
636480,9,Overwhelmingly Positive,43909
1432860,8,Very Positive,12476
3959050,7,Positive,29
1859910,8,Very Positive,443
2285150,5,Mixed,3655
3329480,0,No user reviews,0
1295510,8,Very Positive,3561
850190,9,Overwhelmingly Positive,4513
1574900,8,Very Positive,1125
4153260,0,No user reviews,0
2468550,8,Very Positive,91
952060,8,Very Positive,24441
109600,5,Mixed,108
2218750,9,Overwhelmingly Positive,20306
274170,8,Very Positive,23245
410340,9,Overwhelmingly Positive,6069
1127400,9,Overwhelmingly Positive,8766
2688950,6,Mostly Positive,6727
1790600,8,Very Positive,27559
1969870,0,No user reviews,0
2993780,8,Very Positive,4655
2286780,8,Very Positive,169
3419290,6,Mostly Positive,98
1030830,6,Mostly Positive,7676
1649080,8,Very Positive,2500
1054490,9,Overwhelmingly Positive,6004
1154030,8,Very Positive,5649
254700,8,Very Positive,23269
489630,8,Very Positive,4932
1677110,8,Very Positive,1813
1694420,8.0,Very Positive,677.0
3339420,9.0,Overwhelmingly Positive,755.0
2059170,8.0,Very Positive,2765.0
